Time: 2025-01-17 12:01:48, RAM: 43.4%, CPU: 10.8%
Time: 2025-01-17 12:01:53, RAM: 43.4%, CPU: 12.1%
Time: 2025-01-17 12:01:58, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:02:03, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:02:08, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:02:13, RAM: 43.4%, CPU: 11.1%
Time: 2025-01-17 12:02:18, RAM: 43.4%, CPU: 10.9%
Time: 2025-01-17 12:02:23, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:02:28, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:02:33, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:02:38, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:02:43, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:02:48, RAM: 43.4%, CPU: 10.8%
Time: 2025-01-17 12:02:53, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:02:58, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:03:03, RAM: 43.4%, CPU: 12.6%
Time: 2025-01-17 12:03:08, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:03:13, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:03:18, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:03:23, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:03:28, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:03:33, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:03:38, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:03:43, RAM: 43.4%, CPU: 10.6%
Time: 2025-01-17 12:03:48, RAM: 43.4%, CPU: 12.5%
Time: 2025-01-17 12:03:53, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:03:58, RAM: 43.4%, CPU: 11.0%
Time: 2025-01-17 12:04:03, RAM: 43.4%, CPU: 12.8%
Time: 2025-01-17 12:04:08, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:04:13, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:04:18, RAM: 43.4%, CPU: 12.4%
Time: 2025-01-17 12:04:23, RAM: 43.4%, CPU: 11.5%
